Model;Accuracy;Balanced Accuracy;ROC AUC;F1 Score;Time Taken
AdaBoostClassifier;1.0;1.0;1.0;1.0;14.557615995407104
XGBClassifier;1.0;1.0;1.0;1.0;6.0495758056640625
DecisionTreeClassifier;1.0;1.0;1.0;1.0;3.4406328201293945
ExtraTreesClassifier;1.0;1.0;1.0;1.0;3.6198551654815674
RandomForestClassifier;1.0;1.0;1.0;1.0;4.486916780471802
QuadraticDiscriminantAnalysis;1.0;1.0;1.0;1.0;3.510976791381836
SVC;0.75;0.8333333333333333;0.8333333333333334;0.7666666666666667;3.5155208110809326
BaggingClassifier;0.875;0.75;0.75;0.8589743589743589;5.649261474609375
RidgeClassifierCV;0.875;0.75;0.75;0.8589743589743589;4.640610694885254
RidgeClassifier;0.875;0.75;0.75;0.8589743589743589;4.316460609436035
LogisticRegression;0.875;0.75;0.75;0.8589743589743589;3.6979615688323975
LinearSVC;0.875;0.75;0.75;0.8589743589743589;4.689829349517822
ExtraTreeClassifier;0.875;0.75;0.75;0.8589743589743589;3.1183269023895264
NuSVC;0.5;0.6666666666666666;0.6666666666666667;0.5;3.3746025562286377
NearestCentroid;0.625;0.5833333333333333;0.5833333333333334;0.6454545454545454;3.08537220954895
Perceptron;0.625;0.5833333333333333;0.5833333333333334;0.6454545454545454;4.11339545249939
GaussianNB;0.625;0.5833333333333333;0.5833333333333334;0.6454545454545454;3.1940460205078125
SGDClassifier;0.625;0.5833333333333333;0.5833333333333334;0.6454545454545454;3.952592134475708
BernoulliNB;0.625;0.5833333333333333;0.5833333333333334;0.6454545454545454;5.028961896896362
LabelSpreading;0.75;0.5;0.5;0.6428571428571428;3.160869598388672
LabelPropagation;0.75;0.5;0.5;0.6428571428571428;3.1506829261779785
DummyClassifier;0.25;0.5;0.5;0.1;3.1314494609832764
CalibratedClassifierCV;0.25;0.5;0.5;0.1;10.339951992034912
LGBMClassifier;0.25;0.5;0.5;0.1;3.5747926235198975
LinearDiscriminantAnalysis;0.625;0.4166666666666667;0.4166666666666667;0.5769230769230769;3.5034573078155518
PassiveAggressiveClassifier;0.375;0.41666666666666663;0.41666666666666663;0.40476190476190477;3.253005266189575
KNeighborsClassifier;0.25;0.16666666666666666;0.16666666666666669;0.30000000000000004;3.7752864360809326
